Ticker,Close,Confidence,Sentiment_Score,Signal_Pool,generated_at
SNDK,1740.0,47.7,-0.010602980852127075,long,2026-09-26T00:28:39Z
SMCI,39.59000015258789,47.66,-0.1857909381389618,long,2026-09-26T00:28:39Z
LITE,881.2550048828125,46.63,0.23878325819969176,long,2026-09-26T00:28:39Z
COHR,281.8599853515625,46.4,0.08725466132164002,long,2026-09-26T00:28:39Z
STX,848.5997924804688,46.4,0.04163567423820495,long,2026-09-26T00:28:39Z
TER,357.0299987792969,46.4,0.2759084039264255,long,2026-09-26T00:28:39Z
DELL,524.1400146484375,46.34,0.1380700170993805,long,2026-09-26T00:28:39Z
MRVL,223.5500030517578,46.17,0.1699318528175354,long,2026-09-26T00:28:39Z
WDC,467.3099670410156,46.17,-0.11694604754447938,long,2026-09-26T00:28:39Z
CIEN,321.0,46.03,0.09729074835777282,long,2026-09-26T00:28:39Z
PCG,14.300000190734863,45.96,-0.012855863571166993,long,2026-09-26T00:28:39Z
AXON,515.6699829101562,45.79,-0.24665193046842301,long,2026-09-26T00:28:39Z
CRWD,213.10000610351562,45.79,0.09355158276028103,long,2026-09-26T00:28:39Z
DDOG,212.92999267578125,45.79,0.16701242923736573,long,2026-09-26T00:28:39Z
FICO,932.260009765625,45.79,-0.4393402338027954,long,2026-09-26T00:28:39Z
FRT,117.08999633789062,8.86,0.0,short,2026-09-26T00:28:39Z
WBD,28.25,8.51,-0.2957631707191467,short,2026-09-26T00:28:39Z
BRK-B,506.0299987792969,7.79,-0.007841620180341933,short,2026-09-26T00:28:39Z
AES,14.789999961853027,6.56,0.0,short,2026-09-26T00:28:39Z
TECH,72.43000030517578,6.16,-0.4600180685520172,short,2026-09-26T00:28:39Z
