Ticker,Close,Confidence,Sentiment_Score,Signal_Pool,generated_at,price_date
WDC,467.3099670410156,46.89,0.01885337233543396,long,2026-09-11T16:55:38Z,2026-09-11
STX,849.280029296875,46.88,0.22808169722557067,long,2026-09-11T16:55:38Z,2026-09-11
MRVL,223.5500030517578,46.78,0.0,long,2026-09-11T16:55:38Z,2026-09-11
PCG,14.300000190734863,46.57,-0.7018736004829407,long,2026-09-11T16:55:38Z,2026-09-11
AXON,515.6699829101562,46.53,-0.2008443921804428,long,2026-09-11T16:55:38Z,2026-09-11
CIEN,321.0,46.53,0.09451795816421509,long,2026-09-11T16:55:38Z,2026-09-11
CRWD,213.10000610351562,46.53,-0.03977660536766052,long,2026-09-11T16:55:38Z,2026-09-11
DDOG,212.92999267578125,46.53,0.3531280259291331,long,2026-09-11T16:55:38Z,2026-09-11
FICO,932.260009765625,46.53,-0.43853036761283876,long,2026-09-11T16:55:38Z,2026-09-11
FRT,117.08999633789062,8.52,0.5580480694770813,short,2026-09-11T16:55:38Z,2026-09-11
WBD,28.25,8.25,0.085507903780256,short,2026-09-11T16:55:38Z,2026-09-11
BRK-B,506.0299987792969,7.94,0.07445813417434692,short,2026-09-11T16:55:38Z,2026-09-11
AES,14.789999961853027,5.49,0.8809394240379333,short,2026-09-11T16:55:38Z,2026-09-11
TECH,72.43000030517578,5.3,-0.9696547985076904,short,2026-09-11T16:55:38Z,2026-09-11
SNDK,1740.0,47.52,-0.02220277190208435,long,2026-09-12T00:00:54Z,2026-09-11
SMCI,39.59000015258789,47.26,0.01580328941345215,long,2026-09-12T00:00:54Z,2026-09-11
DELL,524.1400146484375,46.43,0.46431403756141665,long,2026-09-12T00:00:54Z,2026-09-11
COHR,281.8599853515625,46.24,0.18192971348762513,long,2026-09-12T00:00:54Z,2026-09-11
LITE,881.2550048828125,46.24,0.090693998336792,long,2026-09-12T00:00:54Z,2026-09-11
TER,357.0299987792969,46.24,-0.08695253233114879,long,2026-09-12T00:00:54Z,2026-09-11
WDC,467.3099670410156,46.16,-0.04369763135910034,long,2026-09-12T00:00:54Z,2026-09-11
STX,849.280029296875,46.14,0.13240588903427125,long,2026-09-12T00:00:54Z,2026-09-11
MRVL,223.5500030517578,46.05,0.09150028824806214,long,2026-09-12T00:00:54Z,2026-09-11
PCG,14.300000190734863,45.83,-0.7018736004829407,long,2026-09-12T00:00:54Z,2026-09-11
HOOD,122.11000061035156,45.73,-0.006001067161560058,long,2026-09-12T00:00:54Z,2026-09-11
AXON,515.6699829101562,45.72,-0.20084400475025177,long,2026-09-12T00:00:54Z,2026-09-11
CIEN,321.0,45.72,0.1135098695755005,long,2026-09-12T00:00:54Z,2026-09-11
CRWD,213.10000610351562,45.72,-0.09151021838188171,long,2026-09-12T00:00:54Z,2026-09-11
DDOG,212.92999267578125,45.72,0.27596144676208495,long,2026-09-12T00:00:54Z,2026-09-11
FRT,117.08999633789062,8.97,0.5580500364303589,short,2026-09-12T00:00:54Z,2026-09-11
WBD,28.25,8.59,0.074819415807724,short,2026-09-12T00:00:54Z,2026-09-11
BRK-B,506.0299987792969,7.98,0.060535538196563723,short,2026-09-12T00:00:54Z,2026-09-11
AES,14.789999961853027,5.98,0.8809396028518677,short,2026-09-12T00:00:54Z,2026-09-11
TECH,72.43000030517578,5.6,-0.9696547985076904,short,2026-09-12T00:00:54Z,2026-09-11
